symbol,raw_lattice_anchor_ts_utc,interval_code,sensitivity_mode,selection_status,selected_template_time_shift_days,effective_schedule_origin_ts_utc,extension_sequence_index,marker_set,marker_ratio,marker_code,marker_kind,expected_ts_utc,observed_candle_open_ts_utc,observed_price,marker_residual_hours,matched
XLM,2024-11-03T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,10.0,2024-11-13T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-01-06T23:28:19Z,2025-01-06T00:00:00Z,0.44641,0.0,True
XLM,2024-11-24T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-12-10T05:05:16Z,2024-12-10T00:00:00Z,0.41793,0.0,True
XLM,2024-11-24T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-12-17T11:28:19Z,2024-12-17T00:00:00Z,0.44972,0.0,True
XLM,2024-11-24T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-01-07T11:28:19Z,2025-01-07T00:00:00Z,0.4519,0.0,True
XLM,2024-11-24T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-12-10T05:05:16Z,2024-12-10T00:00:00Z,0.41793,0.0,True
XLM,2024-11-24T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-12-17T11:28:19Z,2024-12-17T00:00:00Z,0.44972,0.0,True
XLM,2024-11-24T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-01-07T11:28:19Z,2025-01-07T00:00:00Z,0.4519,0.0,True
XLM,2024-11-24T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-12-10T05:05:16Z,2024-12-10T00:00:00Z,0.41793,0.0,True
XLM,2024-11-24T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-12-17T11:28:19Z,2024-12-17T00:00:00Z,0.44972,0.0,True
XLM,2024-11-24T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.5,2024-11-13T12:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-01-07T11:28:19Z,2025-01-07T00:00:00Z,0.4519,0.0,True
XLM,2025-01-05T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-01-25T17:05:16Z,2025-01-25T00:00:00Z,0.41619,0.0,True
XLM,2025-01-05T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-02-01T23:28:19Z,2025-02-01T00:00:00Z,0.40576,0.0,True
XLM,2025-01-05T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-02-22T23:28:19Z,2025-02-22T00:00:00Z,0.32486,0.0,True
XLM,2025-01-05T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-01-25T17:05:16Z,2025-01-25T00:00:00Z,0.41619,0.0,True
XLM,2025-01-05T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-02-01T23:28:19Z,2025-02-01T00:00:00Z,0.40576,0.0,True
XLM,2025-01-05T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-6.0,2024-12-30T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-02-22T23:28:19Z,2025-02-22T00:00:00Z,0.32486,0.0,True
