policy_name,hold_hours,asset_id,symbol,ts_utc,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,actual_direction,equity_curve,drawdown
rejected_htf_4h,4,11,POL,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,24,0.078398,0.078784,0.004923594989668248,0.002,0.0029235949896682482,UP,1.304350204502245,-0.019896341538776063
rejected_htf_4h,4,12,QNT,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,25,60.496,60.287,-0.0034547738693467864,0.002,-0.005454773869346787,DOWN,1.297235269090249,-0.025242585364201542
rejected_htf_4h,4,13,SUI,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,26,0.75848,0.75808,-0.000527370530534842,0.002,-0.002527370530534842,DOWN,1.29395667489998,-0.027706158528372327
rejected_htf_4h,4,17,AAVE,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,27,85.18,84.25,-0.01091805588166244,0.002,-0.01291805588166244,DOWN,1.277241270265172,-0.04026630470589898
rejected_htf_4h,4,18,CC,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,28,0.13228,0.1279,-0.03311158149380099,0.002,-0.03511158149380099,DOWN,1.2323953093170106,-0.07396407256056459
rejected_htf_4h,4,21,HYPE,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,29,31.476,31.148,-0.01042063794637182,0.002,-0.01242063794637182,DOWN,1.217088173373177,-0.08546602954062243
rejected_htf_4h,4,27,XRP,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,30,1.15947,1.1543,-0.0044589338232122406,0.002,-0.006458933823212241,DOWN,1.2092270814043455,-0.09137294393489903
rejected_htf_4h,4,29,DOT,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,31,1.0944,1.0806,-0.012609649122807048,0.002,-0.014609649122807048,DOWN,1.191560698035232,-0.10464766640749934
rejected_htf_4h,4,33,INJ,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,33,2.4921,2.4685,-0.009469924962882735,0.002,-0.011469924962882735,DOWN,1.1778935862400477,-0.11491729048914723
rejected_htf_4h,4,35,MOG,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,34,1.255e-07,1.235e-07,-0.015936254980079823,0.002,-0.01793625498007982,DOWN,1.1567665865378456,-0.13079235964539382
