policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_1h,27,XRP,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,29,1.15872,1.15479,-0.003391673570836776,0.002,-0.005391673570836776,0.8663104815381057,-0.1513501026224775
rejected_htf_1h,28,ALGO,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,30,0.072258,0.071719,-0.007459381660162166,0.002,-0.009459381660162167,0.858115720057038,-0.15937780589762895
rejected_htf_1h,29,DOT,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,31,1.0878,1.0845,-0.003033645890788822,0.002,-0.005033645890788822,0.8537962693889516,-0.16360920035067816
rejected_htf_1h,30,FET,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,32,0.20164,0.20057,-0.005306486808173057,0.002,-0.007306486808173057,0.8475580182097938,-0.16972027869479334
rejected_htf_1h,32,ICP,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,34,1.9538,1.9552,0.00071655235950459,0.002,-0.00128344764049541,0.8464702218711395,-0.17078589924405363
rejected_htf_1h,33,INJ,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,35,2.5037,2.4949,-0.0035147980988137237,0.002,-0.005514798098813724,0.8418021095008621,-0.1753588475904121
rejected_htf_1h,37,RED,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,37,0.09031,0.08939,-0.01018713320783971,0.002,-0.01218713320783971,0.8315429550577346,-0.18540885916349426
rejected_htf_1h,1,BTC,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.132159,2,58244.0,58518.0,0.004704347228899114,0.002,0.0027043472288991142,0.8337917359439554,-0.18320592186908746
rejected_htf_1h,3,SOL,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.103665,5,71.98,71.976,-5.557099194227408e-05,0.002,-0.002055570991942274,0.8320778178382278,-0.1848849000824836
rejected_htf_1h,26,WLD,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.080592,6,0.23702,0.23951,0.01050544257868531,0.002,0.00850544257868531,0.8391550079388486,-0.1779519854051158
rejected_htf_1h,17,AAVE,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.008959,7,84.44,84.88,0.005210800568450944,0.002,0.003210800568450944,0.8418493673153571,-0.17531255317256056
